"filename", "language", "JSON", "JSON with Comments", "Markdown", "XML", "TypeScript", "Lua", "comment", "blank", "total"
"h:\Desktop\code\AnalyticsCDN\.eslintrc.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 0, 33
"h:\Desktop\code\AnalyticsCDN\.prettierrc", "JSON", 7, 0, 0, 0, 0, 0, 0, 1, 8
"h:\Desktop\code\AnalyticsCDN\README.md", "Markdown", 0, 0, 49, 0, 0, 0, 0, 10, 59
"h:\Desktop\code\AnalyticsCDN\build.rbxmx", "XML", 0, 0, 0, 4568, 0, 0, 0, 695, 5263
"h:\Desktop\code\AnalyticsCDN\default.project.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 1, 14
"h:\Desktop\code\AnalyticsCDN\include\Promise.lua", "Lua", 0, 0, 0, 0, 0, 1037, 126, 240, 1403
"h:\Desktop\code\AnalyticsCDN\include\RuntimeLib.lua", "Lua", 0, 0, 0, 0, 0, 183, 9, 38, 230
"h:\Desktop\code\AnalyticsCDN\out\events\PlayerJoins.lua", "Lua", 0, 0, 0, 0, 0, 96, 10, 1, 107
"h:\Desktop\code\AnalyticsCDN\out\events\Robux.lua", "Lua", 0, 0, 0, 0, 0, 62, 10, 1, 73
"h:\Desktop\code\AnalyticsCDN\out\events\ServerVitals.lua", "Lua", 0, 0, 0, 0, 0, 150, 16, 1, 167
"h:\Desktop\code\AnalyticsCDN\out\events\client.client.lua", "Lua", 0, 0, 0, 0, 0, 109, 12, 29, 150
"h:\Desktop\code\AnalyticsCDN\out\events\invites.lua", "Lua", 0, 0, 0, 0, 0, 40, 1, 1, 42
"h:\Desktop\code\AnalyticsCDN\out\events\livePlayerLocation.lua", "Lua", 0, 0, 0, 0, 0, 54, 8, 1, 63
"h:\Desktop\code\AnalyticsCDN\out\events\serverSession.lua", "Lua", 0, 0, 0, 0, 0, 116, 27, 1, 144
"h:\Desktop\code\AnalyticsCDN\out\globals.lua", "Lua", 0, 0, 0, 0, 0, 16, 2, 1, 19
"h:\Desktop\code\AnalyticsCDN\out\init.lua", "Lua", 0, 0, 0, 0, 0, 120, 12, 5, 137
"h:\Desktop\code\AnalyticsCDN\out\utils\InParentGroup.lua", "Lua", 0, 0, 0, 0, 0, 9, 2, 1, 12
